var_name,Value,Unit,Comment
cabin_diameter,2.2,[m],Diameter of the fuselage cabin
cabin_length,7.8,[m],Length of the fuselage cabin
nose_slenderness,1.8,[ratio],Fuselage nose slenderness (length over base diameter)
tail_slenderness,2.5,[ratio],Fuselage tail slenderness (length over base diameter)
upsweep_angle,7,[degrees],Tailcone upsweep angle
tail_taper,0.3,[ratio],The taper of te tail section (tip over base)
n_section,10,[integer],Number of circular sections that make up the nose
w_c_root,3.2,[m],Length of the main wing root chord
sweep_angle,NaN,[degrees],Sweep angle of the main wing (NaN for auto)
taper_ratio,NaN,[ratio],Taper ratio of the main wing (NaN for auto)
dihedral_angle,NaN,[degrees],Dihedral angle of the main wing (NaN for auto)
m_cruise,0.8,[Mach],M cruise of the main wing 
TechFactor,0.86,[],TechFactor of the main wing
w_span,7,[m],W span of the main wing 
airfoil_root,airfoil.dat,[],airfoil file name
airfoil_tip,airfoil.dat,[],airfoil file name
w_loc_perc,60,[%],Percentile location of the main wing aerodynamic center of the cabin length
