var_name,Value,Unit,Comment
//,//, //,THE MAIN WING INPUT VARIABLES
w_c_root,3.2,[m],Length of the main wing root chord
sweep_angle_user,NaN,[degrees],Sweep angle of the main wing (NaN for auto)
taper_ratio_user,0.3,[ratio],Taper ratio of the main wing (NaN for auto)
dihedral_angle_user,NaN,[degrees],Dihedral angle of the main wing (NaN for auto)
TechFactor,0.86,[],TechFactor of the main wing
w_span,7.0,[m],W span of the main wing 
airfoil_root,airfoil.dat,[],airfoil file name
airfoil_tip,airfoil.dat,[],airfoil file name
m_cruise,0.8,[mach],jet cruise speed
,,,
//,//, //,THE HTP WING INPUT VARIABLES
w_span,3.2,[m],Span of a single wing side (float)
sweep_angle_user,NaN,[degrees],Sweep angle of the vertical wing (NaN for auto)
taper_ratio_user,0.3,[ratio],Taper ratio of the vertical wing (NaN for auto)
dihedral_angle_user,0.0,[degrees],Dihedral angle of the main wing (NaN for auto)
TechFactor,0.86,[],TechFactor of the vertical  wing (float)
airfoil_root,airfoil.dat,[],root airfoil file name (string)
airfoil_tip,airfoil.dat,[],tip airfoil file name (string)
w_c_root,2.0,[m],The root chord length (float)
,,,
//,//, //,THE VTP WING INPUT VARIABLES
root_frac,0.9,[ratio],Root chord / span of the vertical tail (float)
sweep_angle_user,NaN,[degrees],Sweep angle of the vertical wing (NaN for auto)
taper_ratio_user,0.7,[ratio],Taper ratio of the vertical wing (NaN for auto)
dihedral_angle_user,0.0,[degrees],Dihedral angle of the main wing (NaN for auto)
TechFactor,0.86,[],TechFactor of the vertical  wing (float)
airfoil_root,airfoil.dat,[],root airfoil file name (string)
airfoil_tip,airfoil.dat,[],tip airfoil file name (string)
rud_angle,30.0,[degrees],The rotation angle of the rudder (float)
d_hinge_user,NaN,[m],Distance trailing edge to hinge plane (float)
p_zero_user,NaN,[m],Height of the first rib from the bottom (float)
p_rib_user,NaN,[m],Distance in z direction of following fin ribs
p_form_rib_user,NaN,[m],Distance in z direction of the form rib
rhl_root,0.25,[ratio],Ratio of local width where the local hinge is located at root (float)
rhl_tip,0.25,[ratio],Ratio of local width where the local hinge is located at tip (float)
ahl_tip,0.25,[ratio],Ratio of local width where the local actuator hinge is located at tip (float)
d_actuator,0.125,[m],Distance in z direction between the to actuator hinge planes (float)
d_front_spar,0.07,[m],Distance of front spar with respect to the hinge plane (float)
d_back_spar,0.057,[m],Distance of back spar with respect to the trailing edge (float)
rud_width_frac,0.2,[ratio],Rudder size fraction. Rudder width/Fin root chord (float)
rud_height_frac,0.8,[ratio],The height offset fraction of the rudder from the bottom of the fin (float)
rud_length_frac,0.75,[ratio],The fraction of the length of the rudder (float)
actuator_frac,0.33,[ratio],The fraction of the height of the actuator box from the bottom (float)
rib0_frac,0.0625,[ratio],The fraction of the height of the first rib from the bottom (float)
rib_frac,0.125,[ratio],The fraction of the height of the ribs (float)
form_rib_frac,0.075,[ratio],The fraction of the height of the form ribs (float)
,,,
//,//, //,THE FUSELAGE INPUT VARIABLLES
cabin_diameter,2.2,[m],Diameter of the fuselage cabin (float)
cabin_length,7.8,[m],Length of the fuselage cabin (float)
nose_slenderness,1.8,[ratio],Fuselage nose slenderness (length over base diameter) (float)
tail_slenderness,2.5,[ratio],Fuselage tail slenderness (length over base diameter) (float)
upsweep_angle,7.0,[degrees],Tailcone upsweep angle (float)
tail_taper,0.3,[ratio],The taper of te tail section (tip over base) (float)
n_section,10.0,[],Number of circular sections that make up the nose (float)
,,,
//,//, //,CONSTANTS INPUT VARIABLES
m_cruise,0.8,[Mach],Cruise speed of the jet (float)
w_loc_perc,60.0,[%],lengthwise position of the wing MAC as percentage of the length of the cabin (float)
Vv,0.083,[],Volume coefficient (float)
rho,0.9093,[kg/m^3],Density of air at flight altitude (float)
FoS,3.0,[],Factor of safety for the AVL analysis (float)
x_fc,0.2,[],Rudder force width offset fraction of total rudder width (float)
l_v,6.0,[m],The desired distance between the vertical tail aerodynamic center and main wing ADC (float)
dx,0.001,[m],Stepsize fot the generation of the moment and force lines (float)
,,,
//,//, //,COMPUTED/DERIVED VALUES
total_length,17.26,[m],The total length of the aircraft fuselage (float)
ver_aspect_ratio,1.30718954248366,[ratio],The aspect ratio of the vtp (float)
hor_aspect_ratio,4.923076923076924,[ratio],The aspect ratio of the htp (float)
Vh,0.9302244058150991,[m],Distance from the vtp ADC to the main wing ADC (float)
Actuator Force,[8301.0 ; -4792.6],[N],The actuator forces Fax and Fay (tupple)
Hinge Forces,9774.1,[N],The total force per rotation hinge (float)
,5004.3,[N],
,2064.5,[N],
,2829.4,[N],
Hinge Masses,0.248,[kg],The mass per rotation hinge (float)
,0.218,[kg],
,0.2,[kg],
,0.205,[kg],
 \ \ Wetted Area,,,The wetted areas of the different parts of the jet (float)
Main Wings,53.886,[m^2],
HTP,17.975,[m^2],
VTP,10.238,[m^2],
Fuselage,93.58,[m^2],
rudder_weight,5.099759793200441,[kg],The weight of the complete rudder assembly
 \ \ Main Wing,,[degrees],
Sweep Angle,39.0,[degrees],
Taper Ratio,0.3,[degrees],
Dihedral Angle,2.0,[degrees],
Horizontal Sweep Angle,39.0,[degrees],
